Customer ID,Order ID,Order Date,Product ID,Product Name,Category,Quantity,Unit Price,Region,Total Amount
8a80ddb1-8615-4452-adce-db56c9385365,d929f0c8-5600-456b-9360-ae114e339871,2021-12-25,9c485900-229d-4b96-ac99-374754d40e1c,T-shirt,Accessories,2,55.23,North,110.46
ac664d43-893a-47a1-bdd7-139f73a360a7,38d57142-b1f3-4b25-ae2e-e7404d2df736,2022-10-08,3ff68652-ba71-4610-9284-71f778fd2819,Smartphone,Clothing,1,217.55,South,217.55
ebbc4ba3-d24f-4e25-a585-15c8e6bacbd7,58a7f2a2-5682-4510-b94e-cb56d076880d,2022-11-30,99ad1f2f-fa2e-4b27-8952-7b23249eeebc,T-shirt,Books,5,145.57,West,727.8499999999999
5f3f88e8-b638-4cfd-9af8-e14b63d9082f,12af190c-f3a3-4209-b7a7-fa7a66337df8,2023-02-12,b767b606-a5c1-46fc-83fa-78de163b8fce,Watch,Clothing,4,11.74,North,46.96
2029cf6c-dd8e-430c-ae24-586d3a5f422a,d283a232-0b04-49e9-bad3-6dcfd115b421,2023-02-17,15baeab4-63b9-4b98-a52f-40697bcd0c0f,Watch,Accessories,4,387.85,East,1551.4
46b3b1a0-9a5c-4994-9295-ac9eb78d13eb,11d121ed-bc97-46e3-a950-13496cc0b80f,2022-02-16,0951322d-e341-4ce0-bc31-5e9a171ed63d,Shoes,Home & Kitchen,3,322.19,North,966.5699999999999
76c5d7e3-f3e0-428a-bcae-e8f86d7c5688,25ddf1e2-dc7d-490a-a776-e219266488df,2021-10-25,27f768f8-bca7-4455-a3c7-597107e76c8d,Watch,Clothing,2,138.36,North,276.72
fd5a88d2-584d-42fb-9ab9-08cf53a511ad,8c0abda8-7fd8-4015-8cd0-dad8734cbb6b,2022-01-19,82b2ddc4-e060-4519-a9c1-d79691de65b4,T-shirt,Clothing,9,373.2,East,3358.7999999999997
ffd49093-45e8-4d9e-98ee-e9c5ec89e854,e072c3eb-9e41-45ff-8274-00c53eca019c,2022-11-21,181c3d45-7b95-42e5-95d4-6771da009080,Laptop,Home & Kitchen,2,280.32,North,560.64
9b663313-85c6-4379-8b0b-13d3980fd2b8,6e6791ce-d56a-40a9-a9b7-189e31567454,2021-08-21,86d5c818-9899-4018-9e9b-36f56c61da20,Headphones,Electronics,10,219.57,North,2195.7
662cade7-bc25-40c8-a74d-19b1d4f85bf5,136dd32c-1a27-42ad-a3dd-416684653f70,2023-05-22,b4fe1cf0-2b3e-4eda-a238-0d1295c37138,Smartphone,Books,7,14.74,South,103.18
f4b4ec46-cca9-4bb6-9b94-f70c2b4cef19,4bc8d8bc-24cf-4e50-9c51-e09ce5a2913b,2021-08-20,778a9ff2-5cb1-4d1e-829f-4239a05796e9,Blender,Electronics,1,46.87,East,46.87
9382697c-6ec0-4238-90a1-fa2161e5130d,457350dc-82f2-4190-babc-00f3d48cedc3,2023-07-21,88428f8c-5903-42cf-a8e1-d1741566fb78,Book,Electronics,1,442.72,East,442.72
b20a918f-8c70-4d28-8951-2e013f63eef3,1ed11aab-94fe-4d91-862c-e270be0c4b92,2023-07-19,cbd839c5-521d-4da5-853c-263552186094,Smartphone,Books,2,452.93,West,905.86
2413fb8d-4677-4da2-8ba9-d21da87e4e55,5947b79d-f183-4354-8de9-edc93e780a83,2021-10-30,0d17dd8b-d18e-4d47-8642-f83ba1a992b5,Smartphone,Books,4,277.34,West,1109.36
b8a0e459-f916-4db1-af12-7b3f7825cb16,852fbcfa-75b1-45a7-83aa-a6b96b962c47,2022-10-17,ab1a809a-f20b-4207-8715-9b16e908652e,Blender,Electronics,4,418.95,East,1675.8
f055f53b-c802-4341-bb84-768c35b64a36,a9f92679-3011-46e9-8d03-4fcc32d0bc7b,2022-08-02,75d1617c-7fd5-42f5-879a-1911f6b8834c,Microwave,Electronics,9,295.43,North,2658.87
f76b6b5b-cf8c-4168-8d09-b5274e88cc77,c5375f68-ded0-43fe-99b6-5f262db62e3e,2022-08-29,96479c8e-ea50-43ac-8af3-a07a6c05fe41,TV,Electronics,10,82.57,South,825.6999999999999
69bd0a06-cad8-451d-a69c-98d0e25679b8,3ab724d1-e218-472f-b670-23a5cab87a8b,2022-04-04,a5e794af-5c17-4ef0-9a42-1b6487078007,Smartphone,Books,1,72.45,North,72.45
